Frequency,Non vocalized Syriac,Vocalized Syriac,SedraID,absolute_frequency,Grammatical Category,long_definition,English,category
366,ܬܢܝ,ܬܰܢܺܝ,3414,7507,Verb,"ܬܢܳܐ fut. ܢܶܬܢܶܐ, Ia to repeat, to do again; to recite, narrate; Ip, IIp to be repeated, to recur; IIa to narrate, recount, report.","to narrate, recount, report",
367,ܩܥܐ,ܩܥܳܐ,2855,7505,Verb,"ܩܥܳܐ fut. ܢܶܩܥܶܐ, Ia to call, cry out; Ip to be acclaimed; IIIa.","to call, cry out",
368,ܦܪܨܘܦܐ,ܦܰܪܨܽܘܦܳܐ,2609,7475,NounAdj,ܦܰܪܨܽܘܦܳܐ face; person; personification; pretence; + ܠܒܶܫ to take the part of.,face; person,People
369,ܛܥܐ,ܛܥܳܐ,1260,7429.72,Verb,"ܛܥܳܐ fut. ܢܶܛܥܶܐ, Ia to wander; to err, go astray, fall into error; to be missing, to get lost; to forget; to be mistaken; to be forgotten, disregarded; to escape notice; Ip to be led astray; to be missing, forgotten; IIIa to lead astray, to seduce, deceive; to deprive; to cause to forget, to be forgotten; IIIp be led astray, deceived; to be consigned to oblivion.","to err, go astray; to forget",Movement
370,ܣܘܟܠܐ,ܣܽܘܟܳܠܳܐ,2125,7411,NounAdj,"ܣܽܘܟܳܠܳܐ intelligence, understanding; sense, meaning; opinion.",intelligence; sense,
371,ܩܫܝܫܐ,ܩܰܫܺܝܫܳܐ,2898,7387,NounAdj,ܩܰܫܺܝܫܳܐ eldest; grandfather; ancestor; priest; ܩܰܫܺܝܫܬܳܐ grandmother.,eldest; grandfather; priest,
372,ܡܘܗܒܬܐ,ܡܰܘܗܰܒܬܳܐ,1310,7371,NounAdj,"ܡܰܘܗܰܒܬܳܐ gift, present.","gift, present",
373,ܩܘܪܒܢܐ,ܩܽܘܪܒܳܢܳܐ,2875,7370,NounAdj,"ܩܽܘܪܒܳܢܳܐ offering, oblation, Eucharist.","offering, Eucharist",Christianity
374,ܐܘܟܝܬ,ܐܰܘܟܺܝܬ,6747,7363,Prep,ܐܰܘܟܺܝܬ that is to say.,that is to say,
375,ܫܢܬܐ,ܫܶܢܬܳܐ,3280,7360.7,NounAdj,ܫܶܢܬܳܐ sleep,sleep,
376,ܕܗܒܐ,ܕܰܗܒܳܐ,659,7350.75,NounAdj,ܕܰܗܒܳܐ gold.,gold,Materials
377,ܐܓܪܬܐ,ܐܶܓܰܪܬܳܐ,29,7339,NounAdj,ܐܶܓܰܪܬܳܐ letter.,letter,Writing
378,ܥܪܩ,ܥܪܰܩ,2423,7327,Verb,"ܥܪܰܩ fut. ܢܶܥܪܽܘܩ, Ia to escape, to flee; to avoid; Ip to shun; IIa to take to flight; to scatter; to gnaw; IIIa to put to flight; to beat off, to banish; to rescue, to put in a safe place.",to escape; to avoid,
379,ܟܪ,ܟܰܪ,1575,7291.35,Particle,-ܟܰܪ ܕ where.,where,
380,ܩܪܝܒܐ,ܩܰܪܺܝܒܳܐ,2878,7267,NounAdj,"ܩܰܪܺܝܒܳܐ close, near; kinsman, neighbor.","close; kinsman, neighbor",
381,ܚܪܬܐ,ܚܰܪܬܳܐ,1164,7255.86,NounAdj,"ܚܰܪܬܳܐ end, extremity; result; remnant.",end; result; remnant,
382,ܚܫܘܟܐ,ܚܶܫܽܘܟܳܐ,1178,7212,NounAdj,ܚܶܫܽܘܟܳܐ dark; darkness.,dark; darkness,
383,ܫܒܥ,ܫܒܰܥ,3107,7187,number,"ܫܰܒܥܳܐ, ܫܒܰܥ seven.",seven,Numbers
384,ܪܚܡܬܐ,ܪܶܚܡܬܳܐ,3001,7182,NounAdj,ܪܶܚܡܬܳܐ love; kindness; desire; (many phrases with ܪܶܚܡܰܬ ).,love; kindness; desire,Emotions
385,ܕܚܝܠܐ,ܕܚܺܝܠܳܐ,678,7181.02,NounAdj,ܕܚܺܝܠܳܐ fearful; formidable.  ,fearful; formidable,
386,ܥܝܪܐ,ܥܺܝܪܳܐ,2311,7174.25,NounAdj,"ܥܺܝܪܳܐ vigilant, wakeful; angel, Watcher.","vigilant; angel, watcher",
387,ܒܥܘܬܐ,ܒܳܥܽܘܬܳܐ,426,7152,NounAdj,"ܒܳܥܽܘܬܳܐ petition, request, supplication; ܒܒܳܥܽܘ please.","supplication; petition, request",
388,ܫܐܕܐ,ܫܺܐܕܳܐ,3091,7150,NounAdj,"ܫܺܐܕܳܐ demon, evil spirit.","demon, evil spirit",Christianity
389,ܚܕܝ,ܚܕܺܝ,956,7148,Verb,"ܚܕܳܐ, ܚܕܺܝ fut. ܢܶܚܕܶܐ, Ia to be glad, rejoice; IIa, IIIa to gladden; IIp.","to be glad, rejoice",
390,ܡܝܬܪܘܬܐ,ܡܝܰܬܪܽܘܬܳܐ,1448,7142,NounAdj,"ܡܝܰܬܪܽܘܬܳܐ virtue, excellence.","virtue, excellence",
391,ܕܢܚ,ܕܢܰܚ,734,7133.05,Verb,"ܕܢܰܚ fut. ܢܶܕܢܰܚ, Ia to rise (of sun etc.), shine forth, appear; IIp to appear, to be manifest; IIIa to cause to shine; to manifest; to show clearly.","to rise (of sun etc.), appear",Movement
392,ܥܐܕܐ,ܥܺܐܕܳܐ,2216,7110.5,NounAdj,"ܥܺܐܕܳܐ feast, festival.","feast, festival",
393,ܙܪܥܐ,ܙܰܪܥܳܐ,914,7078.17,NounAdj,ܙܰܪܥܳܐ seed; seedling; offspring.,seed; offspring,
394,ܚܘܒܐ,ܚܰܘܒܳܐ,973,7033.4,NounAdj,ܚܰܘܒܳܐ debt; sin.,debt; sin ,Religion
395,ܥܢܝܕܐ,ܥܰܢܺܝܕܳܐ,7435,6994,NounAdj,"ܥܰܢܺܝܕܳܐ departed, deceased.","departed, deceased",
396,ܕܠܡܐ,ܕܰܠܡܳܐ,1694,6971,Particle,"ܕܰܠܡܳܐ lest, that not; maybe, perchance; why?, whether?, is not?","lest, that not; maybe; why?",
397,ܪܘܓܙܐ,ܪܽܘܓܙܳܐ,2930,6954,NounAdj,"ܪܽܘܓܙܳܐ anger, wrath.","anger, wrath",Emotions
398,ܨܠܡܐ,ܨܰܠܡܳܐ,2698,6885,NounAdj,"ܨܰܠܡܳܐ image, figure; statue; ܬܪ̈ܶܝܢ ܨܰܠ̈ܡܶܐ Gemini, the Twins.",image; statue,
399,ܐܚܪܝܐ,ܐ̱ܚܪܳܝܳܐ,12748,6872,NounAdj,"ܐ̱ܚܪܳܝܳܐ last, latter; later.","last, latter; later",
400,ܢܩܦ,ܢܩܶܦ,2027,6872,Verb,"ܢܩܶܦ fut. ܢܶܩܰܦ, Ia to adhere to, follow, join, adjoin; to unite with; IIp to cleave to; to unite with, to be conjoined; to have sexual intercourse; IIIa ܐܰܩܶܦ to join, fasten, unite; to add, supplement; to continue, go on; to commence.","to adhere to, follow; to unite with",
401,ܝܘܢܝܐ,ܝܰܘܢܳܝܳܐ,1342,6871,NounAdj,"ܝܰܘܢܳܝܳܐ Greek; pagan; ܕܝܰܘ̈ܢܳܝܶܐ of the Seleucid era (in dates, see appendix for formula).",Greek; pagan,
402,ܣܓܝܐܐ,ܣܓܺܝ,2063,6862.66,Verb,"ܣܓܳܐ & ܣܓܺܝ fut. ܢܶܣܓܶܐ, Ia to abound; to increase; IIa to multiply, increase (+ object); to do often; to sing a sughitho; Gram. to form a plural; IIIa to increase, to multiply; to do much.",to abound; to increase,
403,ܫܘܪܐ,ܫܽܘܪܳܐ,3156,6859.96,NounAdj,ܫܽܘܪܳܐ wall; navel.,wall; navel,
404,ܐܟܙܢܐ,ܐܰܟܙܢܳܐ,108,6818,Particle,"ܐܰܟܙܢܳܐ in like manner, as for example, just as.",in like manner,
405,ܡܝܘܬܐ,ܡܳܝܽܘܬܳܐ,12080,6812,NounAdj,ܡܳܝܽܘܬܳܐ mortal; + ܠܳܐ immortal.,mortal,
406,ܚܒܪܐ,ܚܰܒܪܳܐ,942,6805.36,NounAdj,"ܚܰܒܪܳܐ m., ܚܒܰܪܬܳܐ f. companion, friend; mate.","companion, friend; mate",
407,ܟܐܢܘܬܐ,ܟܺܐܢܽܘܬܳܐ,1489,6803,NounAdj,"ܟܺܐܢܽܘܬܳܐ justice, rectitude.","justice, rectitude",
408,ܐܝܠܢܐ,ܐܺܝܠܳܢܳܐ,87,6788.5,NounAdj,ܐܺܝܠܳܢܳܐ tree.,tree,Nature
409,ܨܒܘܬܐ,ܨܒܽܘܬܳܐ,2653,6782,NounAdj,"ܨܒܽܘܬܳܐ thing, affair, matter.","thing, matter",
410,ܦܠܓ,ܦܠܰܓ,2520,6781,Verb,"ܦܠܰܓ & ܦܠܶܓ fut. ܢܶܦܠܽܘܓ, Ia to divide, to assign; to be in the middle; Ip to be divided; to doubt, to hesitate; IIa to distribute, to divide up; IIp to be divided, to be distributed; to separate; to waver, to hesitate.",to divide; to be in the middle,
411,ܡܚܕܐ,ܡܶܚܕܳܐ,954,6755,Particle,"ܡܶܚܕܳܐ immediately, at once.",immediately,
412,ܙܟܐ,ܙܟܳܐ,878,6734.5,Verb,"ܙܟܳܐ fut. ܢܶܙܟܶܐ, Ia to conquer, overcome; to be innocent; Ip; IIa to acquit, to pronounce innocent; IIp.",to conquer; to be innocent,
413,ܩܘܫܬܐ,ܩܽܘܫܬܳܐ,2786,6727,NounAdj,"ܩܽܘܫܬܳܐ truth, verity.",truth,
414,ܐܝܡܡܐ,ܐܺܝܡܳܡܳܐ,89,6705,NounAdj,ܐܺܝܡܳܡܳܐ daytime.,daytime,
415,ܩܕܝܡܐ,ܩܕܺܝܡܳܐ,2743,6702,NounAdj,"ܩܕܺܝܡܳܐ former, prior.","former, prior",
416,ܩܪܝܬܐ,ܩܪܺܝܬܳܐ,2884,6674.94,NounAdj,"ܩܪܺܝܬܳܐ (pl. ܩܽܘܪ̈ܝܳܐ) f. village; hamlet, field; town.",village; field; town,Places
417,ܡܶܢܝܳܢܐ,ܡܶܢܝܳܢܳܐ,1804,6667.65,NounAdj,"ܡܶܢܝܳܢܳܐ number, reckoning, computation, era.","number, reckoning, computation",
418,ܡܐܢܐ,ܡܳܐܢܳܐ,1700,6636,NounAdj,"ܡܳܐܢܳܐ garment, clothing; vessel, tool, implement.",garment; vessel,Objects
419,ܪܡܫܐ,ܪܰܡܫܳܐ,3033,6636,NounAdj,ܪܰܡܫܳܐ evening; Vespers.,evening; Vespers,
420,ܟܐܒܐ,ܟܺܐܒܳܐ,1454,6620,NounAdj,"ܟܺܐܒܳܐ pain, grief, sickness; ܟܺܐܒ ܪܺܝܫܳܐ headache.","pain, grief, sickness",Health
421,ܙܡܪ,ܙܡܰܪ,892,6582,Verb,"ܙܡܰܪ fut. ܢܶܙܡܰܪ, Ia, IIa to sing, chant; Ip, IIp.",to sing,Music
422,ܐܠܝܐ,ܐܶܠܝܳܐ,129,6553,NounAdj,"ܐܶܠܝܳܐ lamentation, mourning.",lamentation,
423,ܥܘܬܪܐ,ܥܽܘܬܪܳܐ,2438,6533,NounAdj,"ܥܽܘܬܪܳܐ riches, wealth.",wealth,Materials
424,ܙܘܥܐ,ܙܰܘܥܳܐ,869,6497,NounAdj,"ܙܰܘܥܳܐ movement; impulse, stirring; earthquake; Gram. vowel.",movement; earthquake; vowel,
425,ܢܗܪ,ܢܗܰܪ,1917,6477,Verb,"ܢܗܰܪ fut. ܢܶܢܗܰܪ, Ia to be light, to shine; IIa to enlighten; to bring light; to elucidate, annotate; IIp to be enlightened, to receive light; to be explained; IIIa to give forth light; to shine brightly; to lighten, to illumine; IIIp.","to be light, to shine",Light
426,ܙܥ,ܙܳܥ,868,6473,Verb,"ܙܳܥ fut. ܢܙܽܘܥ, Ia to move, stir, tremble; Ip; IIIa to set in motion, to stir.","to move, stir, tremble",
427,ܓܘܐ,ܓܰܘܳܐ,527,6470,NounAdj,"ܓܰܘܳܐ interior, inside; innards; community; ܕܓܰܘܳܐ held in common",interior; innards; community,
428,ܐܢܫܘܬܐ,ܐ̱ܢܳܫܽܘܬܳܐ,7114,6454,NounAdj,"ܐ̱ܢܳܫܽܘܬܳܐ humanity, human race; populace.",humanity; populace,
429,ܡܕܒܚܐ,ܡܰܕܒܚܳܐ,643,6406,NounAdj,"ܡܰܕܒܚܳܐ altar; altar space, sanctuary.",altar; sanctuary,Buildings
430,ܝܕܝܥܐ,ܝܺܕܺܝܥܳܐ,1302,6363,NounAdj,"ܝܺܕܺܝܥܳܐ famous, well-known, notable; specific, certain, fixed, particular, appointed; evident, manifest; Gram. determined.",famous; specific; evident; determined,
431,ܣܘܓܐܐ,ܣܽܘܓܳܐܐ,2066,6361,NounAdj,"ܣܽܘܓܳܐܐ multitude, greater part, majority.","multitude, majority",
432,ܫܡܫ,ܫܰܡܶܫ,14956,6356.08,Verb,"ܫܰܡܶܫ 1 IIa to serve, attend, minister to; to perform; to administer; IIp.","to serve, minister to; to perform",
433,ܩܢܘܢܐ,ܩܳܢܽܘܢܳܐ,13770,6348,NounAdj,"ܩܳܢܽܘܢܳܐ rule, canon, Kth. constitution, law; rule of life; clergy; short hymn.","rule, Kth. constitution; short hymn",Music
434,ܣܗܕܘܬܐ,ܣܳܗܕܽܘܬܳܐ,2079,6329,NounAdj,"ܣܳܗܕܽܘܬܳܐ witness, testimony, evidence; martyrdom; Kth. certificate, diploma.",witness; martyrdom; certificate,
435,ܪܘܚܢܐ,ܪܽܘܚܳܢܳܐ,2974,6317,NounAdj,"ܪܽܘܚܳܢܳܐ, ܪܽܘܚܳܢܳܝܳܐ spiritual.",spiritual,
436,ܐܘܠܨܢܐ,ܐܽܘܠܨܳܢܳܐ,154,6298,NounAdj,"ܐܽܘܠܨܳܢܳܐ distress, straits, affliction.","distress, affliction",
437,ܐܡܪܐ,ܐܶܡܪܳܐ,172,6296,NounAdj,ܐܶܡܪܳܐ lamb; Aries (sign of zodiac).,lamb,Livestock
438,ܩܘܐ,ܩܘܳܐ,2760,6291,Verb,"ܩܰܘܺܝ IIa to remain, continue, await; IIp.","to remain, await",
439,ܥܠܝܐ,ܥܶܠܳܝܳܐ,2325,6285.56,NounAdj,"ܥܶܠܳܝܳܐ exalted, heavenly; superior, upper; high.","exalted, heavenly; upper",
440,ܒܥܠܕܒܒܐ,ܒܥܶܠܕܒܳܒܳܐ,437,6284,NounAdj,ܒܥܶܠܕܒܳܒܳܐ enemy,enemy,Warfare
441,ܬܪܐ,ܬܰܪܰܐ,15106,6267.15,Verb,ܬܰܪܰܐ IIa to instruct; IIp; IVa ܬܰܪܐܺܝ to bring up.,to instruct,
442,ܗܠܟ,ܗܰܠܶܟ,15244,6242,Verb,"ܗܰܠܶܟ IIa to go, proceed; to walk, to advance, to travel; to behave, conduct oneself; to lead; IIp to be traversed.",to go; to walk; to conduct oneself,
443,ܫܘܒܩܢܐ,ܫܽܘܒܩܳܢܳܐ,3110,6220,NounAdj,ܫܽܘܒܩܳܢܳܐ forgiveness; release; repudiation;-ܨܠܽܘܬܳܐ ܕ Lit. a service at the beginning of Lent; Kth. Sorry!,forgiveness; release; repudiation,
444,ܝܬܪ,ܝܺܬܰܪ,1445,6210.2,Verb,"ܝܺܬܰܪ fut. ܢܺܐܬܰܪ, Ia to be left over; to have advantage, profit; to gain, win, obtain; IIa to increase, make to abound; IIp to be made to abound; to have abundance; to be increased; to exceed, to excel, to surpass; IIIa ܐܰܘܬܰܪ to profit, help, to be of advantage; to have left over; to let remain.",to be left over; to have advantage; to obtain,
445,ܩܝܣܐ,ܩܰܝܣܳܐ,2813,6176,NounAdj,ܩܰܝܣܳܐ wood; the Cross.,wood; the Cross,Christianity
446,ܪܓܬܐ,ܪܶܓܬܳܐ,2928,6176,NounAdj,"ܪܶܓܬܳܐ desire, longing; lust.",desire; lust,
447,ܡܫܚܐ,ܡܶܫܚܳܐ,1870,6173.57,NounAdj,"ܡܶܫܚܳܐ ointment, oil, unguent.","ointment, oil, unguent",
448,ܫܝܘܠ,ܫܝܽܘܠ,3180,6139,NounAdj,"ܫܝܽܘܠ f. Sheol, underworld, place of the dead.","Sheol, place of the dead",Places
449,ܚܛܐ,ܚܛܳܐ,1010,6111.9,Verb,"ܚܛܳܐ fut. ܢܶܚܛܶܐ, Ia to sin; Ip to be committed (of sin); IIa to be arrogant; IIIa to cause to sin; toconsider sinful.",to sin,Religion
450,ܒܬܪܟܢ,ܒܳܬܰܪܟܶܢ,326,6106,Particle,ܒܳܬܰܪܟܶܢ afterwards.,afterwards,
451,ܫܕܐ,ܫܕܳܐ,3123,6098.85,Verb,"ܫܕܳܐ fut. ܢܶܫܕܶܐ, Ia to throw, hurl; to shoot (arrow etc.); to reject, expel; + ܐܺܝܕܳܐ to lay hands on; + ܐܶܠܦܳܐ to launch a boat; + ܟܶܣܦܳܐ to invest money; + ܪܶܥܝܳܢܳܐ to apply the mind.",to throw; to shoot (arrow etc.); to reject,
452,ܡܣܟܢܐ,ܡܶܣܟܺܢܳܐ,1817,6082,NounAdj,ܡܶܣܟܺܢܳܐ poor.,poor,
453,ܫܪܒܐ,ܫܰܪܒܳܐ,5665,6075.11,NounAdj,"ܫܰܪܒܳܐ affair, story, account, subject.","affair, story",
454,ܒܟܐ,ܒܟܳܐ,390,6053.92,Verb,"ܒܟܳܐ fut. ܢܶܒܟܶܐ, Ia to weep, mourn; to cry; Ip; IIa to bewail; IIp; IIIa.",to weep; to cry,
455,ܥܕ,ܥܰܕ,2243,6050,Particle,ܥܰܕ while; until.,while; until,
456,ܝܪܚܐ,ܝܰܪܚܳܐ,1424,5986,NounAdj,ܝܰܪܚܳܐ month.,month,Months
457,ܚܒ,ܚܰܒ,921,5970,Verb,"ܚܰܒ fut. ܢܶܚܽܘܒ, Ia to be kindled, set on fire; to swell, surge; IIa to embrace, caress, cherish; IIp; IIIa ܐܰܚܶܒ to love; IIIp.",to be kindled; to embrace; to love,Emotions
458,ܡܠܝܠܐ,ܡܠܺܝܠܳܐ,1792,5957,NounAdj,"ܡܠܺܝܠܳܐ rational, articulate; eloquent, rhetorician; logician.","rational, articulate; rhetorician",
459,ܢܗܪܐ,ܢܰܗܪܳܐ,1919,5947,NounAdj,ܢܰܗܪܳܐ (pl. ܢܰܗܪ̈ܰܘܳܬܳܐ) river.,river,Nature
460,ܐܣܟܡܐ,ܐܶܣܟܺܡܳܐ,224,5938,NounAdj,"ܐܶܣܟܺܡܳܐ, ܐܶܣܟܺܝܡܳܐ shape, form; dress; manner, appearance; monastic habit.",shape; manner; monastic habit,
461,ܫܢܳܝܳܐ,ܫܢܳܝܳܐ,3272,5920,NounAdj,"ܫܢܳܝܳܐ frenzy, infatuation.","frenzy, infatuation",
462,ܪܚܡܐ,ܪܳܚܡܳܐ,2998,5894.73,NounAdj,ܪܳܚܡܳܐ friend.,friend ,
463,ܦܛܪܝܪܟܐ,ܦܰܛܪܺܝܰܪܟܳܐ,11046,5881,NounAdj,ܦܰܛܪܺܝܰܪܟܳܐ patriarch.,patriarch,
464,ܪܗܛ,ܪܗܶܛ,2959,5875,Verb,"ܪܗܶܛ fut. ܢܶܪܗܰܛ, Ia to run, make haste; to occur; IIa to cultivate; IIp; IIIa to dispatch; to bring in haste; to act in haste; IIIp.",to run; to occur,
465,ܡܥܡܘܕܝܬܐ,ܡܰܥܡܽܘܕܺܝܬܳܐ,2340,5867,NounAdj,ܡܰܥܡܽܘܕܺܝܬܳܐ baptism; font; pool; washing.,baptism; font; washing,
466,ܬܝܒܘܬܐ,ܬܝܳܒܽܘܬܳܐ,3372,5846,NounAdj,ܬܝܳܒܽܘܬܳܐ repentance; return; backsliding.,repentance; return,Movement
467,ܛܒ,ܛܳܒ,13058,5815,Adverb,"ܛܳܒ very, very much, exceeding.","very, exceeding",
468,ܒܪܐ,ܒܰܪܳܐ,460,5810.35,NounAdj,"ܒܰܪܳܐ exterior; open country; ܠܒܰܪ outside, out, ܠܒܰܪ ܡܶܢ apart from. ",exterior; open country,Places
469,ܬܠܝܬܝܘܬܐ,ܬܠܺܝܬܳܝܽܘܬܳܐ,11111,5794,NounAdj,ܬܠܺܝܬܳܝܽܘܬܳܐ Trinity; triad.,Trinity; triad,
470,ܟܪܣܐ,ܟܰܪܣܳܐ,1595,5740,NounAdj,ܟܰܪܣܳܐ f. belly; womb; cavity; ventricle.,belly; womb,
471,ܐܪܐ,ܐܰܪܰܐ,7955,5730,Particle,ܐܰܪܰܐ then (inferential); interrogative particle.,then (inferential); interrogative particle,
472,ܣܦܩ,ܣܦܰܩ,2185,5726.4,Verb,"ܣܦܰܩ fut. ܢܶܣܦܰܩ, Ia to suffice; to be adequate, suitable, capable; Ip to be emptied; to be at leisure, to have time for; IIa to empty, to lay bare, to evacuate, to empty out; IIp to be emptied; to be deprived of; to deprive oneself, to abstain (from); to find opportunity; to be poured out, to be lavished; IIIa to make fit, to qualify; to empty out.","to suffice; to be adequate, capable",
473,ܫܪ,ܫܰܪ,3306,5720.4,Verb,"ܫܰܪ fut. ܢܶܫܰܪ & ܢܶܐܫܰܪ, Ia to be strong; to prove true; to be ratified; ܫܶܪܰܬ it was established; IIa to set firmly; to assure, affirm; to strengthen, confirm, ratify; to speak the truth; IIp to get well, regain strength; to become solid, firm; to be set firmly, to be established; to be assured; IIIa to set firmly, to make strong, to restore to health; to confirm; to entrust; to believe firmly; to give credence; to speak the truth; to affirm; IIIp to make oneself believed.",to be strong,
474,ܫܥܐ,ܫܥܳܐ,15771,5719,Verb,"ܫܥܳܐ fut. ܢܶܫܥܶܐ, Ia to win over; Ip to play, to engage in sport; to mock; IIp to relate, tell, discourse; IIIp to be mocked.",to win over; to play,
475,ܒܕܓܘܢ,ܒܰܕܓܽܘܢ,9331,5689,Particle,ܒܰܕܓܽܘܢ therefore.,therefore,
476,ܝܩܪ,ܝܺܩܰܪ,1420,5629,Verb,"ܝܺܩܰܪ fut. ܢܺܐܩܰܪ, Ia to be heavy; to be weighed down, burden; to be burdensome; to be precious; Ip to be burdened; IIa to honor; to confer honor on; IIp to be honored, held in honor; to be considered precious; IIIa ܐܰܘܩܰܪ to make heavy; to be burdensome; to give honor; to make valuable; to appraise; IIIp to be burdened.",to be heavy; to be precious,
477,ܚܫܚ,ܚܳܫܰܚ,15067,5629,Active participle,"ܚܫܚ* Ia act. part. ܚܳܫܰܚ, ܚܳܫܚܳܐ it is fitting, suitable, appropriate, needed; IIp to be used to, be familiar with; to use, make use of; to employ; to deal with; to act, behave (with).","it is fitting, suitable, needed",
478,ܥܝܕܐ,ܥܝܳܕܳܐ,2265,5621,NounAdj,"ܥܝܳܕܳܐ custom, habit, usage.","custom, habit",
479,ܟܠܝܠܐ,ܟܠܺܝܠܳܐ,1526,5603,NounAdj,"ܟܠܺܝܠܳܐ crown, garland; rim; circle (of people).",crown; rim; circle (of people),
480,ܬܪܝܢܐ,ܬܪܰܝܳܢܳܐ,9693,5578.9,NounAdj,ܬܪܰܝܳܢܳܐ second; secondary; substitute; vicegerent.,second; substitute,
481,ܥܕܟܝܠ,ܥܕܰܟܺܝܠ,2246,5555,Particle,"ܥܕܰܟܺܝܠ still, yet.","still, yet",
482,ܐܟܘܬ,ܐܰܟܘܳܬ,107,5536,Prep,ܐܰܟܘܳܬ like.,like,
483,ܫܡܠܝ,ܫܰܡܠܺܝ,14638,5532,Verb,"ܫܰܡܠܺܝ IVa to do completely, to accomplish, to perfect; Lit. Kth. to hold the censer (of deacons); IVp to be fulfilled, made perfect; to be full grown; to be given over to; to be initiated (in); to be celebrated; to be consummated.",to accomplish; Lit. Kth. to hold the censer (of deacons),
484,ܡܐܐ,ܡܳܐܐ,1697,5525,number,ܡܳܐܐ a hundred; century.,a hundred,Numbers
485,ܦܠܚ,ܦܠܰܚ,2528,5517,Verb,"ܦܠܰܚ fut. ܢܶܦܠܽܘܚ, Ia to labor, work, cultivate; to serve (God); Ip to be cultivated; to be carried out, to be practiced, to be elaborated; IIa to labor; to serve as a soldier; IIIa to enlist, to enforce labor.",to labor; to serve (God),
486,ܟܣܐ,ܟܳܣܳܐ,1555,5514.46,NounAdj,ܟܳܣܳܐ cup; cupful; chalice.,cup; chalice,
487,ܙܒܢܐ,ܙܶܒܢܳܐ,10999,5502.8,NounAdj,ܙܶܒܢܳܐ goods (for sale); purchase.,"goods, purchase",
488,ܗܕܡܐ,ܗܰܕܳܡܳܐ,778,5475,NounAdj,"ܗܰܕܳܡܳܐ limb, member.","limb, member",
489,ܚܕܝܘܬܐ,ܚܕܳܝܽܘܬܳܐ,11976,5455,NounAdj,"ܚܕܳܝܽܘܬܳܐ union, unity; solitude.","union, unity; solitude",
490,ܢܫܐ,ܢܫܳܐ,15583,5447,Verb,"ܢܫܳܐ fut. ܢܶܫܶܐ, Ia to forget; Ip; IIp to forget; to be forgotten; IIa to make forget; IIIa ܐܰܫܺܝ to consign to oblivion; to make forget.",to forget,
491,ܕܝܢܐ,ܕܰܝܳܢܳܐ,693,5444.54,NounAdj,ܕܰܝܳܢܳܐ judge. ,judge,
492,ܒܝܬ,ܒܶܝܬ,11937,5437,Prep,ܒܶܝܬ between. ,between,
493,ܡܠܟܐ,ܡܶܠܟܳܐ,1784,5432.2,NounAdj,"ܡܶܠܟܳܐ advice, counsel.","advice, counsel",
494,ܚܒܝܒܐ,ܚܰܒܺܝܒܳܐ,923,5426.8,NounAdj,"ܚܰܒܺܝܒܳܐ beloved, dear; friend.",beloved; friend,
495,ܥܕܪ,ܥܕܰܪ,2253,5400,Verb,"ܥܕܰܪ fut. ܢܶܥܕܽܘܪ, Ia, IIa to help, assist; IIp.",to help,
496,ܕܒܚܐ,ܕܶܒܚܳܐ,640,5340,NounAdj,ܕܶܒܚܳܐ sacrifice.,sacrifice,Religion
497,ܚܝܒܐ,ܚܰܝܳܒܳܐ,976,5339,NounAdj,"ܚܰܝܳܒܳܐ debtor; guilty; vanquished, defeated.",debtor; guilty; defeated,
498,ܐܠܐ,ܐܶܠܳܐ,128,5330.95,Verb,"ܐܶܠܳܐ fut. ܢܶܐܠܶܐ, Ia to mourn, lament.","to mourn, lament",Death
499,ܐܦܘܗܝ,ܐܰܦܰܘ̈ܗ̱ܝ,6121,5326,NounAdj,"ܐܰܦ̈ܶܐ f. face, countenance; ܠܰܐܦܰܝ̈ towards; ܥܰܠ ܐܰܦܰܝ̈ on behalf of; ܐܰܦܰܝ̈ ܬܰܪܥܳܐ curtain. ","face, countenance",
500,ܐܝܬܝܐ,ܐܺܝܬܝܳܐ,14125,5314,NounAdj,"ܐܺܝܬܝܳܐ an existing being, entity, essence; (divine) Essence, Being.",an existing being; (divine) Essence,
501,ܪܒܐ,ܪܒܳܐ,2920,5301.52,Verb,"ܪܒܳܐ fut. ܢܶܪܒܶܐ, Ia to grow up, to increase, multiply; IIa to bring up, to rear, to breed; to educate; to lend on interest; IIp; IIIa = IIa.","to grow up, to increase",
502,ܓܠܝܢܐ,ܓܶܠܝܳܢܳܐ,572,5285,NounAdj,"ܓܶܠܝܳܢܳܐ revelation, manifestation, appearance; Apocalypse (of John); Transfiguration (feast of).",revelation; Apocalypse (of John); Transfiguration (feast of),
503,ܩܫܝܐ,ܩܰܫܝܳܐ,2901,5266,NounAdj,"ܩܰܫܝܳܐ hard, difficult; harsh, stern.",hard; stern,
504,ܦܘܪܫܢܐ,ܦܽܘܪܫܳܢܳܐ,2615,5262,NounAdj,"ܦܽܘܪܫܳܢܳܐ separation; discernment; distinction, difference; pronunciation; something set apart, offering.",separation; discernment; difference; offering,Religion
505,ܬܕܡܘܪܬܐ,ܬܶܕܡܽܘܪܬܳܐ,731,5255,NounAdj,"ܬܶܕܡܽܘܪܬܳܐ wonder, marvel, portent.",wonder,
506,ܝܪܝܐ,ܕܰܝܪܳܝܳܐ,11480,5221,NounAdj,ܕܰܝܪܳܝܳܐ monk; monastic.,monk; monastic,
